13008-110719	Directory
13008-110725	Directory
13008-110731	Directory
13346-161181	Directory
13008-110738	Breakpoint
13008-110740	Breakpoint
13008-110742	Skai > Home > Whales - no data 1VH (1440 x 900px)
13008-110870	Skai > Home > Whales 1VH (1440 x 900px)
13008-111263	Skai > Home > Whales 1VH (1440 x 900px)
13008-111656	Skai > Home > Whales > filter - custom input 1VH (1440 x 900px)
13008-112079	Skai > Home > Whales 1VH (1440 x 900px)
13008-112491	Skai > Pro 1VH (1440 x 900px)
13008-112676	Skai > Pro ALT 1VH (1440 x 900px)
13008-112937	Skai > Pro ALT stretched 1VH (1440 x 900px)
13008-113198	Plans - long view
13008-113481	Skai > Pro > checkout - send tokens - step 1 1VH (1440 x 900px)
13008-113591	Skai > Pro > checkout - send tokens - step 2 1VH (1440 x 900px)
13008-113728	Skai > Pro > checkout - send tokens - step 3 1VH (1440 x 900px)
13008-113803	Skai > Pro > checkout > welcome to gold 1VH (1440 x 900px)
13008-113950	Awaiting
13008-113961	Confirmed
13008-113980	Token selected
13008-114000	Skai > Pro > checkout 1VH ALT (1440 x 900px)
13008-114086	Skai > Pro - expanded (1440 x 900px)
13008-114351	dropdown-3
13008-114364	dropdown-3
13008-114375	Technicals - Sell
13008-114424	Technicals - Buy
13008-114473	Skai > Home > Add > Add whale - input > conversation 5 1VH (1440 x 900px)
13008-114604	sidebar - open
13008-114693	sidebar - open - agentic support
13445-183914	sidebar - open - agentic support
13008-114782	sidebar - open - agentic support
13008-114883	Rectangle 158
13008-114884	Rectangle 161
13008-114885	Rectangle 160
13388-150266	Rectangle 163
13008-114886	Rectangle 150
13008-114887	Rectangle 153
13008-114888	Rectangle 154
13346-161188	Rectangle 162
13008-114889	Skai > Home > Add > Add whale - input 1VH (1440 x 900px)
13008-115013	Skai > Home > Add > Add whale 1VH (1440 x 900px)
13008-115137	Skai > Home > Whales 1VH (1440 x 900px)
13008-115463	Skai > Home > Whales > Wallet manager > Import wallet 1VH (1440 x 900px)
13008-115820	Skai > Home > Whales > Live trades 1VH (1440 x 900px)
13008-116049	Skai > Home > Whales > KOLs 1VH (1440 x 900px)
13008-116519	X accounts - My list
13008-116574	X accounts - My list > Add handle
13008-116645	Skai > Home > Whales - no data > Add wallet 1VH (1440 x 900px)
13008-116935	Notes
13008-116959	Notes
13008-116983	Skai > Home > Add > Add whale > Select whale 1VH (1440 x 900px)
13008-117799	Skai > Home > Agentic support - Backtesting > conversation 6 1VH (1440 x 900px)
13388-149975	Skai > Home > Intelligent support - Market intel 1VH (1440 x 900px)
13449-191068	Skai > Home > Intelligent support 1VH (1440 x 900px)
13459-198529	Normal
13458-193331	Skai > Home > Intelligent support ALT 1VH (1440 x 900px)
13401-171586	Skai > Home > Intelligent support - Market signals 1VH (1440 x 900px)
13438-182088	Skai > Home > Intelligent support - Analysis 1VH (1440 x 900px)
13444-182982	Skai > Home > Intelligent support - Analysis > display settings 1VH (1440 x 900px)
13445-184106	Skai > Home > Agentic support - AI master 1VH (1440 x 900px)
13447-185120	Skai > Home > Agentic support - AI master > Create AI agent 1VH (1440 x 900px)
13447-186054	Skai > Home > Agentic support - AI master > Create AI agent - step 2 - choose personality 1VH (1440 x 900px)
13449-187102	Skai > Home > Agentic support - AI master > Create AI agent - step 2 - choose personality 2 1VH (1440 x 900px)
13449-186702	Skai > Home > Agentic support - AI master > Create AI agent - step 3 - configure 1VH (1440 x 900px)
