2836-18586	Rectangle 152
2713-3937	Directory
13485-48895	Directory
2713-3940	Directory
2737-28172	Directory
2713-3943	Breakpoint
13484-48889	Breakpoint
14129-82683	Breakpoint
14129-82685	Breakpoint
2713-3945	Breakpoint
2737-28175	Breakpoint
2713-3947	Skai > Home - welcome > onboarding Qs - 2 1VH (1440 x 900px)
5780-45728	Skai > Home - welcome > onboarding Qs - 2 ALT 1VH (1440 x 900px)
2713-4052	Skai > Home - welcome > onboarding Qs - 1 1VH (1440 x 900px)
5778-29088	Skai > Home - welcome > onboarding Qs - with default PFP 1 1VH (1440 x 900px)
5778-45523	profile image
5778-45534	profile image
5778-45531	profile image
5778-45537	profile image
5780-45546	profile image
2713-4119	Skai > Home - welcome > onboarding Qs - load effect 1VH (1440 x 900px)
2713-4179	Skai > Home - welcome 1VH (1440 x 900px)
5777-28765	Skai > Home - welcome - with CTA 1VH (1440 x 900px)
2713-4240	Skai > Home - welcome (1440 x 900px)
2713-4301	Skai > Home - welcome - scroll 1VH (1440 x 900px)
2713-4362	Skai > Home - welcome - end CTA 1VH (1440 x 900px)
2713-4425	Skai > Home - welcome > onboarding Qs - load effect > Quests 1VH (1440 x 900px)
5786-48044	Second card
2713-4584	Skai > Home - welcome > onboarding Qs - load effect > Badge reward 1VH (1440 x 900px)
2733-19908	Skai > Home 1VH ALT (1440 x 900px)
2713-4800	Skai > Home 1VH (1440 x 900px)
2745-3552	Input w/o voice
2737-28177	Skai > Home > Portfolio 1VH (1440 x 900px)
2899-15797	Skai > Home > Portfolio > Vault 1VH (1440 x 900px)
2769-14707	Skai > Home > Portfolio > Defi 1VH (1440 x 900px)
2769-15250	Skai > Home > Portfolio > Social 1VH (1440 x 900px)
5902-145290	Social - empty
2899-16515	Skai > Home > Portfolio > Social - with vesting 1VH (1440 x 900px)
2770-16271	Skai > Home > Portfolio > Tiers 1VH (1440 x 900px)
5902-147818	Tier hover - Gold locked
2752-4678	Skai > Home > Portfolio > Add wallet 1VH (1440 x 900px)
2987-16294	Modal - select chain
2753-4954	Skai > Home > Portfolio > Add wallet > Name wallet 1VH (1440 x 900px)
2752-5814	Skai > Home > Portfolio > Export private key 1VH (1440 x 900px)
2753-8176	Skai > Home > Portfolio > Export private key > private key displayed 1VH (1440 x 900px)
2764-13970	Skai > Home > Portfolio - invisible 1VH (1440 x 900px)
2760-12240	Skai > Home > Portfolio (1440 x 900px)
2773-7535	Skai > Home > Portfolio > Tiers (1440 x 900px)
2853-9675	Skai > Home > Portfolio > Badges (1440 x 900px)
5926-13672	Skai > Home > Portfolio > Badges > Badge preview (1440 x 900px)
2773-10240	Trade - empty
2760-9935	Skai > Home > Portfolio > Vault - deposit (1440 x 900px)
5902-144187	Interest payment history - table version
2768-14508	Withdraw module
2769-14589	Withdraw module - unavailable
2733-20819	Skai > Home - ads > Add 1VH (1440 x 900px)
2736-26122	Skai > Home > Voice prompt 1VH (1440 x 900px)
2737-27044	Skai > Home > Voice prompt > chat history 1VH (1440 x 900px)
2736-26094	dropdown-3
