# bug-report Figma node-id -> catalog frame that covers it
# reason: child     = referenced node is a descendant of the catalog frame
#         page      = report linked a whole Figma page, not a frame
#         gone      = node-id no longer resolves in the Figma file
#         copy-file = report linked a DUPLICATE Figma file; node-ids are
#                     preserved by a Figma file copy, so the same id in the
#                     primary Skai-Web-App file is the covering frame
# a refNode may carry a "<fileKey>:" prefix when it is not the primary file
# refNode	catalogNode	reason	refs	openRefs	sampleReportId8
2713-4801	2713-4800	child	2	0	58ca0ba7
2720-8186	2720-7877	child	1	0	29887c90
2733-18375	2733-18374	child	2	0	3a46b101
2733-19909	2733-19908	child	1	0	cfa22654
2733-21079	2733-20819	child	1	0	92ba0707
2735-25299	2735-25298	child	1	0	52d52dbc
2736-26126	2736-26122	child	1	0	b626e748
2939-10761	2939-10760	child	1	0	15fabce2
3070-789	3070-775	child	1	0	f08168ce
3080-1066	3080-811	child	2	1	24b9ca62
3080-12833	3080-811	child	1	1	2482d054
3082-13262	3082-13100	child	1	1	fc9ed160
3123-2326	3026-16493	child	1	0	5f8c27a0
3150-18794	3150-18637	child	1	1	14a6c67d
3153-19069	3153-19055	child	1	1	a8744277
3153-19246	3153-19232	child	1	1	cb9f24c8
3153-20207	3153-20193	child	1	1	eeb8f26f
3154-3260	3154-3246	child	1	1	2219c6f3
3154-3864	3154-3850	child	1	1	eb6ccd3a
3154-4649	3154-4635	child	1	1	8990fc83
3158-11580	3158-11566	child	1	1	a12ae2d2
3161-3671	3158-11566	child	1	1	46e39982
3163-21244	3163-20939	child	1	1	160d9ed8
3163-21635	3163-21620	child	1	1	4a1d74cd
3164-22302	3163-21998	child	1	1	f0ff4976
3164-22925	3164-22754	child	1	1	d86ebda3
3166-25085	3166-24676	child	1	1	11b1abf2
3167-25361	3166-24676	child	1	1	0d35ea7b
3167-25511	3167-25382	child	1	1	2ab2eaa8
3927-59283	3896-31118	child	1	1	66c84dc5
3927-61348	3896-31118	child	1	1	fb1fd4d7
4144-63590	4144-63925	child	1	1	3ba65def
4144-63743	4144-63925	child	1	1	06907277
4144-63929	4144-63925	child	1	1	0b2d5c29
5777-28766	5777-28765	child	1	0	e427aed0
5810-111038	5810-111037	child	1	0	14e02933
6405-20716	6405-20667	child	5	0	62f582a1
6405-20717	6405-20667	child	2	0	46bc0188
6405-20852	6405-20667	child	1	0	a16e7856
6405-20893	6405-20667	child	2	0	249637a3
6413-21306	6405-20667	child	1	0	4e0bb9d9
6415-45109	6415-45107	child	2	0	4a8e7892
6415-45111	6415-45107	child	3	0	31b6a90a
6415-45112	6415-45107	child	2	0	0c3eaa64
6415-45118	6415-45113	child	1	0	ed64bdfa
6415-45278	6415-45107	child	1	0	34808ccf
6419-45395	6415-45107	child	2	0	a3a6e2e4
6419-45945	6419-45553	child	1	0	ca32e09c
6419-46366	6419-46340	child	1	0	8b7b90e7
6419-46381	6419-46340	child	1	0	efbaaa08
6419-47170	6419-47130	child	1	0	bcbd4a6f
6419-47408	6419-47130	child	1	0	ae9fafd9
6419-47409	6419-47130	child	1	0	75569982
