7710-91527	Skai > Trade > Spot 1VH (1440 x 900px)
8558-139280	Skai > Trade > Spot 1VH (1440 x 900px)
8650-44853	Skai > Trade > Spot 1VH (768 x 1024px)
8822-65362	Skai > Trade > Spot 1VH (768 x 1024px)
8833-71578	Skai > Trade > Spot 1VH (768 x 1024px)
8941-77699	Skai > Trade > Spot 1VH (768 x 1024px)
8994-76486	Frame 455
8994-76863	Frame 457
8994-78276	Frame 1225
8994-78552	Frame 1227
8994-78720	Frame 1228
8994-78891	Frame 1229
8994-78407	Frame 1226
8837-63445	Skai > Trade > Spot 1VH (768 x 1024px)
9002-163670	Skai > Trade > Spot - order book 1VH (768 x 1024px)
8846-63794	Skai > Trade > Spot 1VH (768 x 1024px)
9042-164168	Skai > Trade > Spot - trades 1VH (768 x 1024px)
8859-66157	Skai > Trade > Spot 1VH (768 x 1024px)
8833-68646	Skai > Trade > Spot 1VH (768 x 1024px)
8828-62762	Skai > Trade > Spot 1VH (768 x 1024px)
8931-64499	Skai > Trade > Spot 1VH (768 x 1024px)
8684-163505	Skai > Trade > Spot 1VH (768 x 1024px)
8687-101463	Skai > Trade > Spot 1VH (768 x 1024px)
8684-167264	Skai > Trade > Spot 1VH (768 x 1024px)
8666-108146	Skai > Trade > Spot 1VH (768 x 1024px)
8570-143200	Skai > Trade > Spot 1VH (1440 x 900px)
8650-46141	Skai > Trade > Spot - modal 1VH (768 x 1024px)
8626-61565	Skai > Trade > Spot 1VH (1440 x 900px)
8684-164665	Skai > Trade > Spot - modal 1VH (768 x 1024px)
8626-85537	Skai > Trade > Spot 1VH (1440 x 900px)
8833-72738	Skai > Trade > Spot 1VH (375 x 812px)
9058-225792	Trade panel - Pro - Tp/sl
9058-225926	Trade panel - Pro - Scaled order
9058-223749	Trade panel - buy
9058-223872	Trade panel - sell
9058-223998	Trade panel - sell - with value
8994-77368	Frame 1219
8828-62440	Skai > Trade > Spot 1VH (375 x 812px)
9490-145643	Skai > Trade > Spot 1VH (375 x 812px)
9490-147063	Skai > Trade > Spot 1VH (375 x 812px)
9490-148310	Skai > Trade > Spot 1VH (375 x 812px)
9490-149563	Skai > Trade > Spot 1VH (375 x 812px)
9500-151115	Skai > Trade > Spot 1VH (375 x 812px)
9770-133659	Skai > Trade > Spot 1VH (375 x 812px)
9772-80915	Skai > Trade > Spot - chart tools collapsed 1VH (375 x 812px)
9801-112095	Skai > Trade > Perpetual Futures 1VH (375 x 812px)
9803-128424	Skai > Trade > Perpetual Futures 1VH (375 x 812px)
9803-125791	Skai > Trade > Perpetual Futures - full (375 x 812px)
9801-123930	Skai > Trade > Perpetual Futures - Price Collapsed 1VH (375 x 812px)
9801-121092	Skai > Trade > Perpetual Futures - user not signed in 1VH (375 x 812px)
9780-110815	Skai > Trade > Spot - time dropdown 1VH (375 x 812px)
9777-106388	Skai > Trade > Spot -  indicator dropdown 1VH (375 x 812px)
9777-107863	Skai > Trade > Spot - candle dropdown 1VH (375 x 812px)
9777-109337	Skai > Trade > Spot - timeframe dropdown 1VH (375 x 812px)
9780-112196	Skai > Trade > Spot > Layout settings 1VH (375 x 812px)
9780-113550	Skai > Trade > Spot - new layout 1VH (375 x 812px)
9777-107807	Dropdown - Indicator (favorite)
9772-78152	Skai > Trade > Spot 1VH (375 x 812px)
9774-82207	Skai > Trade > Spot - Market 1VH (375 x 812px)
9774-83802	Skai > Trade > Spot - Limit 1VH (375 x 812px)
9774-91524	Trade panel - Limit
9774-89981	Skai > Trade > Spot - Pro 1VH (375 x 812px)
9775-91911	Skai > Trade > Spot - Pro > Trigger 1VH (375 x 812px)
9775-93615	Skai > Trade > Spot - Pro > TP/SL 1VH (375 x 812px)
9775-95209	Skai > Trade > Spot - Pro > Scaled order 1VH (375 x 812px)
9775-93472	Trade panel - Pro - Trigger
9774-91774	Trade panel - Pro - selection
9772-76942	Frame 1341
9772-75651	Skai > Trade > Spot - pair price details collapsed 1VH (375 x 812px)
9500-163410	Skai > Trade > Spot 1VH (375 x 812px)
9500-164534	Skai > Trade > Spot 1VH (375 x 812px)
9500-165924	Skai > Trade > Spot 1VH (375 x 812px)
9500-167048	Skai > Trade > Spot 1VH (375 x 812px)
9490-146969	Frame 6
8941-78943	Skai > Trade > Spot 1VH (375 x 812px)
8941-82029	Frame 446
8941-80624	Frame 450
8941-81175	Frame 452
8941-81422	Frame 453
8941-81626	Frame 454
8941-80882	Frame 451
9058-225586	Trade panel - Limit - with value
8845-36223	Skai > Trade > Spot 1VH ALT (375 x 812px)
8846-64165	Skai > Trade > Spot 1VH ALT (375 x 812px)
8650-94501	Skai > Trade > Spot 1VH (375 x 812px)
8936-38729	Skai > Trade > Spot 1VH ALT (375 x 812px)
8684-166194	Skai > Trade > Spot 1VH (375 x 812px)
8833-69806	Skai > Trade > Spot 1VH (375 x 812px)
8828-63922	Skai > Trade > Spot 1VH (375 x 812px)
8650-94724	Skai > Trade > Spot 1VH (375 x 812px)
8931-65660	Skai > Trade > Spot 1VH (375 x 812px)
8626-131650	Skai > Trade > Spot 1VH (1440 x 900px)
8650-94950	Skai > Trade > Spot - modal 1VH (375 x 812px)
8684-166395	Skai > Trade > Spot 1VH (375 x 812px)
8687-102751	Skai > Trade > Spot 1VH (375 x 812px)
8626-130555	Skai > Trade > Spot 1VH (1440 x 900px)
8684-166596	Skai > Trade > Spot - modal 1VH (375 x 812px)
8570-143201	main
8573-152756	Screenshot 2026-07-06 at 8.23.59 PM 1
8558-134024	Skai > Trade > Spot 1VH (1440 x 900px)
4144-65909	Skai > Trade > Spot > Layout adjustment 1VH (1440 x 900px)
4144-67562	Skai > Trade > Spot > Layout adjustment - sidecar 1VH (1440 x 900px)
4144-64244	Skai > Trade > Spot - dropdown 1VH (1440 x 900px)
3931-93237	Skai > Trade > Spot > Limit 1VH (1440 x 900px)
3962-8774	Skai > Trade > Spot > Limit > Search pairs 1VH (1440 x 900px)
4144-61610	Skai > Trade > Spot > Limit > Search pairs ALT 1VH (1440 x 900px)
3962-35261	Skai > Trade > Spot > Limit > Search pairs > Trench - search 1VH (1440 x 900px)
3962-34721	Select pair - USDC
3962-34884	Select pair - Favorites
3962-8653	Trade panel - Limit
3931-90224	Skai > Trade > Spot - Order book - Trades 1VH (1440 x 900px)
3962-35200	Notes
7712-38425	Order book
8566-141675	Skai > Trade > Spot 1VH (1440 x 900px)
3931-88039	Skai > Trade > Spot > Chart settings 1VH (1440 x 900px)
3928-78877	Skai > Trade > Spot - chart expanded 1VH (1440 x 900px)
3927-56677	Chart sample 2 - SOL
3886-15237	Skai > Trade > Spot (1440 x 900px)
4020-42901	Skai > Trade > Spot - hidden order book 1VH (1440 x 900px)
3963-39739	Skai > Trade > Spot - trade dropdown 1VH (1440 x 900px)
3969-43609	Skai > Trade > Spot - indicator dropdown 1VH (1440 x 900px)
3972-28764	Skai > Trade > Spot - indicator dropdown 1VH (1440 x 900px)
3972-32663	Skai > Trade > Spot - timeframe dropdown 1VH (1440 x 900px)
7746-211720	Chart - Line
7746-212008	Chart - Area
7746-212704	Chart - Area
3972-25561	Dropdown - Indicator (favorite)
3896-31118	Skai > Trade > Spot > Info (1440 x 900px)
3931-86279	AI alert types
3931-91943	On:Hover
3903-21478	Skai > Trade > Perpetual futures 1VH (1440 x 900px)
9104-77744	Expanded
3976-39045	Skai > Trade > Perpetual futures > Order confirmation 1VH (1440 x 900px)
3979-40767	modal - confirm order SHORT
3962-32706	Skai > Trade > Perpetual futures > Market > Search pairs 1VH (1440 x 900px)
3908-39491	Skai > Trade > Perpetual futures - user not signed 1VH (1440 x 900px)
3928-83147	Skai > Trade > Perpetual futures > cross/isolated 1VH (1440 x 900px)
3928-85741	Right menu - leverage
3931-85816	Right menu - leverage ALT
9106-77596	Right menu - leverage
9106-77632	Right menu - leverage ALT
9106-77690	Right menu - leverage ALT 2
7890-98663	Right menu - leverage ALT 2
9106-79115	Right menu - leverage
9106-79151	Right menu - leverage ALT
9106-79209	Right menu - leverage ALT 4
7890-98315	Trade panel - Isolated
7712-32496	Trade panel - Buy
3899-7131	Trade panel - Sell
3900-7416	Trade panel - Sell with value
7712-33476	🚨 Trade panel - Sell with value
3886-15109	Expanded - Perp
2005-35369	Directory
3931-88032	Breakpoint
9050-212389	Dropdown - Indicator (favorite)
3903-22970	Skai > Trade > Perpetual futures (1440 x 900px)
3899-7250	Notes
9002-162005	On:Hover
3903-21476	Rectangle 155
3903-24462	Skai > Trade > Perpetual futures (1440 x 900px)
4018-40830	Skai > Trade > Perpetual futures > Positions (1440 x 900px)
9433-91121	icons/action
9433-91123	icons/action
4020-47586	Skai > Trade > Perpetual futures > Orders (1440 x 900px)
9152-82793	section
4191-121191	Skai > Trade > Perpetual futures > Order history (1440 x 900px)
4191-123643	Skai > Trade > Perpetual futures > Trade history (1440 x 900px)
4207-133479	Skai > Trade > Perpetual futures > Trade history > share PnL (1440 x 900px)
3931-86058	Notes
3931-92020	Notes
3972-25537	Notes
4020-49442	Notes
4297-47855	PnL post - up with profit ALT
4297-48539	PnL post - down with profit ALT
9153-85201	PnL post - up with profit ALT
9156-138870	PnL post - up with profit ALT
9153-85888	PnL post - down with profit ALT
9156-139557	PnL post - down with profit ALT
4201-128723	Skai > Trade > Perpetual futures > Funding history (1440 x 900px)
4144-63925	Advanced functions (approved)
4144-64090	Notes
4191-121142	Notes
4020-49491	Skai > Trade > Perpetual futures > Assets (1440 x 900px)
7890-121544	Positions - TP/SL
7890-122280	Positions - Pages form
4020-44966	Skai > Trade > Perpetual futures > Positions > Edit running SL/TP (1440 x 900px)
7890-130783	Update position modal - on:hover
7890-130857	Update position modal - on:hover - additional position
3903-25954	Trade panel - Long
3903-26048	Trade panel - Short
3903-26142	Trade panel - Short with value
3925-44912	Expanded
7645-110947	Rectangle 161
9002-157016	Breakpoint
9056-216827	Breakpoint
3931-88035	Breakpoint
9102-299597	Breakpoint
9102-299599	Breakpoint
7679-71122	AI card - shouty
7679-71196	dropdown-time
7746-180909	sidebar - open - spot
3931-88037	Breakpoint
9069-258419	Breakpoint
9069-258421	Breakpoint
7888-96627	Notes
3903-26337	Directory
3931-88028	Directory
3903-26850	Notes
3903-26874	Rectangle 156
3931-88031	Rectangle 157
3908-41145	tool-tip
